section,question_number,question_text,question_instructions
2.6,Q140,"Prière d'indiquer le nombre total d'opérations effectuées en espèces (tant entrantes que sortantes) pour un montant supérieur ou égal à 10 000 euros par des clients, pendant la période de déclaration.","L'achat, la vente et la location de biens immobiliers."
2.6,Q141,Votre entité peut-elle distinguer les opérations en espèces supérieures à 100 000 euros dans votre comptabilité ?,"L'achat, la vente et la location de biens immobiliers."
2.6,Q142,"Nombre d'opérations physiques en espèces effectuées par des personnes physiques pour un montant supérieur à 100 000 euros, pendant la période de déclaration.","L'achat, la vente et la location de biens immobiliers."
2.6,Q143,"Nombre d'opérations physiques en espèces effectuées par des personnes morales monégasques pour un montant supérieur à 100 000 euros, pendant la période de déclaration.","L'achat, la vente et la location de biens immobiliers."
2.6,Q144,"Nombre d'opérations physiques en espèces effectuées par des personnes morales étrangères pour un montant supérieur à 100 000 euros, pendant la période de déclaration.","L'achat, la vente et la location de biens immobiliers."
2.7,Q145,Acceptez-vous ou effectuez-vous des opérations utilisant des crypto-monnaies avec des clients ?,"L'achat, la vente et la location de biens immobiliers."
2.7,Q146,"Prévoyez-vous d'accepter des paiements, ou de proposer des produits et services immobiliers, en utilisant des monnaies virtuelles au cours de l'année prochaine ?","Ceci devrait inclure non seulement les paiements reçus ou investis directement en rapport avec les actifs virtuels, mais également les paiements faisant intervenir des tiers (agents, intermédiaires, PSAV, etc.)."
2.7,Q147,Votre entité entretient-elle des relations d'affaires avec des plateformes ou des intermédiaires en matière d'actifs virtuels ?,
2.7,Q148,Prière de nommer les plateformes ou intermédiaires en matière d'actifs virtuels avec lesquels votre entité entretient des relations d'affaires.,
2.8,Q149,"Veuillez indiquer le nombre total de clients uniques, ventilé par nationalité primaire de l'individu, ou par le pays du siège ou de l'immatriculation, pour l'achat et la vente de biens immobiliers au cours de la période de déclaration.","L'achat et la vente de biens immobiliers."
2.8,Q150,Combien de clients uniques étaient des acheteurs ?,
2.8,Q151,Combien de clients uniques étaient des vendeurs ?,
2.8,Q152,"Veuillez indiquer le nombre total d'opérations effectuées par les clients, ventilé par nationalité primaire du client, ou par le pays du siège ou de l'immatriculation, pour l'achat et la vente de biens immobiliers au cours de la période de déclaration.","L'achat et la vente de biens immobiliers."
2.8,Q153,Pour combien d'achats/ventes avez-vous représenté l'acheteur ?,
2.8,Q154,Pour combien d'achats/ventes avez-vous représenté le vendeur ?,
2.8,Q155,"Veuillez indiquer le nombre total d'opérations effectuées par les clients, ventilé par nationalité primaire du client, ou par le pays du siège ou de l'immatriculation, pour l'achat et la vente de biens immobiliers au cours de la période de déclaration et des 4 années précédentes.","L'achat et la vente de biens immobiliers."
2.8,Q156,"Veuillez indiquer la valeur totale des fonds transférés par les clients pour l'achat et la vente de biens immobiliers (en euros) au cours de la période de déclaration, ventilée par nationalité primaire du client ou par le pays du siège ou de l'immatriculation.","L'achat et la vente de biens immobiliers."
2.8,Q157,"Veuillez indiquer la valeur totale des fonds transférés par les clients pour l'achat et la vente de biens immobiliers (en euros) au cours de la période de déclaration et des 4 années précédentes, ventilée par nationalité primaire du client ou par le pays du siège ou de l'immatriculation.","L'achat et la vente de biens immobiliers."
2.8,Q158,"Combien d'achats et de ventes de biens immobiliers ont-ils été effectués au cours de la période de déclaration à des fins d'investissement, à l'exclusion des biens utilisés comme résidence principale par l'acheteur ou par des personnes qui lui sont liées ?","L'achat et la vente de biens immobiliers. Un membre de la famille, tel qu'un enfant ou un parent, sera considéré comme personne liée à l'acheteur."
2.8,Q159,L'Etat de Monaco a t-il préempté des biens à la vente ?,
2.8,Q160,Combien de biens ont été acquis par l'Etat de Monaco via l'exercice de son droit de préemption ?,
2.8,Q161,Quelle était la valeur totale des biens préemptés ?,
2.9,Q162,Veuillez indiquer le nombre total de biens uniques loués au cours de la période de déclaration.,La location de biens.
2.9,Q163,Veuillez indiquer le nombre total d'opérations de location au cours de la période de déclaration.,La location de biens.
2.9,Q164,"Veuillez indiquer le nombre total de biens locatifs uniques, >= 10.000 € par mois, qui ont été loués à un moment donné au cours de la période de déclaration.",La location de biens.
2.9,Q165,"Veuillez indiquer le nombre total de biens locatifs uniques, < 10.000 € par mois, qui ont été loués à un moment donné au cours de la période de déclaration.",La location de biens.
2.10,Q166,Avez-vous des commentaires sur l'une des questions de cette section ?,
2.10,Q167,Prière de partager vos retours et vos commentaires au sujet de cette section.,
3.1,Q168,Votre entité a-t-elle recours à des tiers locaux pour appliquer certaines/ toutes les mesures de vigilance relatives à la clientèle ?,"Les institutions financières / entreprises et professions non financières désignées peuvent autoriser le recours à des tiers pour réaliser certains éléments des mesures de vigilance à l'égard de la clientèle afin d'apporter des affaires, à condition que les critères requis soient remplis."
3.1,Q169,"Prière d'indiquer le nombre total de clients où des tiers locaux ont été utilisés pour appliquer certaines/ toutes les mesures de vigilance au cours de la période de déclaration, et de les ventiler selon la nationalité principale du client.",
3.1,Q170,Votre entité a-t-elle recours à des tiers étrangers pour appliquer certaines/ toutes les mesures de vigilance relatives à la clientèle ?,"Les institutions financières / entreprises et professions non financières désignées peuvent autoriser le recours à des tiers pour réaliser certains éléments des mesures de vigilance à l'égard de la clientèle afin d'apporter des affaires, à condition que les critères requis soient remplis."
3.1,Q171,"Prière d'indiquer le nombre total de clients où des tiers étrangers ont été utilisés pour appliquer certaines/ toutes les mesures de vigilance au cours de la période de déclaration, et de les ventiler selon la nationalité principale du client.",
3.1,Q172,"Prière d'indiquer le nombre total de clients où des tiers étrangers ont été utilisés pour appliquer certaines/ toutes les mesures de vigilance au cours de la période de déclaration, et de les ventiler selon le lieu de résidence du tiers étranger.",
3.2,Q173,"Prière d'indiquer le nombre de clients uniques nouveaux, qui sont des personnes physiques, dont l'entrée en relation est intervenue au cours de la période de déclaration.",
3.2,Q174,"Prière d'indiquer le nombre de clients uniques nouveaux, qui sont des personnes morales, dont l'entrée en relation est intervenue au cours de la période de déclaration.",
3.2,Q175,"Prière d'indiquer le nombre de clients uniques nouveaux, qui sont des trusts et d'autres constructions juridiques, dont l'entrée en relation est intervenue au cours de la période de déclaration.",
3.2,Q176,"Votre entité entre-t-elle en relation avec des clients sans qu'il y ait de rencontre face à face, soit sur une base non présentielle ?",
3.2,Q177,"Prière d'indiquer le nombre de clients uniques nouveaux, qui sont des personnes physiques, dont l'entrée en relation s'est effectuée sans rencontre face à face aux fins du devoir de vigilance relatif à la clientèle.","L'entité déclarante devrait indiquer si les clients sont démarchés (aux fins du devoir de vigilance relatif à la clientèle) sans rencontre face à face (sur une base non présentielle)."
3.2,Q178,"Prière d'indiquer le nombre de clients uniques nouveaux, qui sont des personnes morales, dont l'entrée en relation s'est effectuée sans rencontre face à face aux fins du devoir de vigilance relatif à la clientèle.",
3.2,Q179,"Prière d'indiquer le nombre de clients uniques nouveaux, qui sont des trusts et d'autres constructions juridiques, dont l'entrée en relation s'est effectuée sans rencontre face à face aux fins du devoir de vigilance relatif à la clientèle.",
3.2,Q180,Votre entité accepte-t-elle des clients à travers des apporteurs d'affaires ?,"Un apporteur d'affaires est une institution financière/ une entreprise ou profession non financière désignée qui entretient un rapport direct avec un client, mais qui délègue l'exécution de l'opération à l'entité assujettie (un apporteur d'affaires est une entreprise qui ramène des clients à l'entité autorisée)."
3.2,Q181,L'entité peut-elle fournir des informations sur la nationalité des clients démarchés par l'apporteur d'affaire ?,
3.2,Q182,"Prière d'indiquer le nombre total de clients démarchés à travers des tiers, en les ventilant selon la nationalité principale du client (dans le cas d'une personne physique) ou selon le pays d'établissement (dans le cas d'une personne morale ou d'une construction juridique).",
3.2,Q183,"Prière d'indiquer le nombre total de clients démarchés à travers des tiers, au cours de la période de déclaration, en les ventilant selon la nationalité principale du client (dans le cas d'une personne physique) ou selon le pays d'établissement (dans le cas d'une personne morale ou d'une construction juridique).",
3.2,Q184,L'entité peut-elle fournir des informations sur la résidence des apporteurs d'affaire ?,
3.2,Q185,"Prière d'indiquer le nombre total d'entrées en relation à travers des tiers, en les ventilant selon le lieu de résidence du tiers.",
3.2,Q186,"Prière d'indiquer le nombre total d'entrées en relation à travers des tiers, au cours de la période de déclaration, en les ventilant selon le lieu de résidence du tiers.",
3.3,Q187,Quelle est la forme juridique de votre entité ?,"Les types de personnes morales incluent: • Associations monégasques • Autres sociétés civiles • Autres sociétés commerciales • Autres arrangements juridiques • Domaine Privé de l'Etat Monégasque • Entreprise individuelle • Fondation monégasque • Groupement d'intérêt économique GIE • Société en nom collectif SNC • Société civile immobilière SCI • Société civile particulière SCP • Société en commandite simple SCS • Société à responsabilité limitée SARL • Société anonyme monégasque SAM • Société en commandite par actions SCA • Trusts"
3.3,Q188,"Veuillez indiquer le nombre total d'employés de votre entité, ainsi que les partenaires et propriétaires non salariés, à la fin de la période de déclaration.","L'entité déclarante doit divulguer le nombre d'employés, d'associés et de propriétaires, quelle que soit leur fonction. Le nombre à la fin de la période de déclaration devrait être utilisé."
3.3,Q189,Le titulaire de la carte professionnelle exerçant des activités d'agent immobilier est-il une personne morale ?,
3.3,Q190,"Veuillez indiquer le nombre d'actionnaires détenant une participation de 25 % ou plus, ventilé par nationalité primaire (personne physique) ou par pays d'établissement (personnes morales et constructions juridiques).",
3.3,Q191,"Veuillez indiquer le nombre de bénéficiaires effectifs détenant, soit une participation de 25 % ou plus, soit contrôlant directement ou indirectement la société, soit étant un représentant légal, ventilé par nationalité primaire.",
3.3,Q192,"Votre entité dispose-t-elle des succursales, des filiales ou des agences ?","Pour les besoins de cette question, le terme « filiale » désigne une entité secondaire de la société mère. Prière de ne pas inclure les bureaux/ les points de service clientèle souvent connus de manière informelle sous la désignation de « filiales »."
3.3,Q193,"Prière d'indiquer le nombre total de succursales, filiales et agences de l'entité locale autorisée, en les ventilant par pays.",
3.3,Q194,Votre entité est-elle une succursale ou une filiale d'une autre entité ?,
3.3,Q195,Votre entité est-elle une succursale ou une filiale d'une entité étrangère ?,
3.3,Q196,"Si oui, dans quel pays opère la société mère ?",
3.3,Q197,Prière d'indiquer le nombre total de succursales et de filiales étrangères (à l'extérieur de Monaco).,
3.3,Q198,"Au cours de la période de déclaration, votre entité a-t-elle rencontré l'un des événements suivants : Un changement de dirigeant(s) légal(aux), de membres de la direction générale ou du conseil d'administration ou de surveillance, des associés/actionnaires (participation de 25 % ou plus), des bénéficiaires effectifs, de toute autre personne exerçant un contrôle direct ou indirect sur votre entité ou la conduite de son activité ? A subi une évolution ou une modification significative de ses activités ? D'autres changements statutaires ? Changement de responsables LBC/FT-P ?","Un changement de dirigeant(s) légal(aux), de membres de la direction générale ou du conseil d'administration ou de surveillance, des associés/actionnaires (participation de 25 % ou plus), des bénéficiaires effectifs, de toute autre personne exerçant un contrôle direct ou indirect sur votre entité ou la conduite de son activité ? A subi une évolution ou une modification significative de ses activités ? D'autres changements statutaires ? Changement de responsables LBC/FT-P ?"
3.3,Q199,Veuillez renseigner l'évolution ou la modification.,
3.3,Q200,Votre entité fait-elle partie d'un réseau ou d'un groupe international d'entreprises ?,
3.3,Q201,"Si oui, veuillez préciser lequel.",
3.3,Q202,Votre entité est-elle membre d'une association ou d'une société professionnelle ?,
3.3,Q203,"Si oui, veuillez préciser lequel.",
3.4,Q204,Chiffre d'affaires pour la période de déclaration.,
3.4,Q205,Chiffre d'affaires pour la période de déclaration réalisé dans la Principauté de Monaco.,
3.4,Q206,Chiffre d'affaires pour la période de déclaration réalisé en dehors de la Principauté de Monaco.,
3.4,Q207,Veuillez indiquer le montant de votre dernière déclaration annuelle de TVA.,"Total de douze mensualités. En cas de TVA négative, apporter des précisions dans la prochaine case commentaire."
3.5,Q208,Prière d'indiquer le nombre total de prospects (clients potentiels) qui ont été rejetés en raison de considérations de blanchiment de capitaux de financement du terrorisme ou contre le financement de la prolifération des armes de destruction massive au cours de la période de déclaration.,
3.5,Q209,"Votre entité peut-elle distinguer si un prospect (client potentiel) a été rejeté en raison d'un attribut / activité / déficience du client ou principalement en raison de la pratique discrétionnaire de LBC/FT-P de l'entité ?",
3.5,Q210,"Prière d'indiquer le nombre total de prospects (clients potentiels) qui ont été rejetés en raison de considérations de blanchiment de capitaux, de financement du terrorisme, ou contre le financement de la prolifération des armes de destruction massive au cours de la période de déclaration pour des raisons liées aux attributs, activités ou déficiences du client.",
3.6,Q211,"Prière d'indiquer le nombre total de relations clients résiliées en raison de considérations liées au blanchiment de capitaux, au financement du terrorisme, ou contre le financement de la prolifération des armes de destruction massive au cours de la période de déclaration.",
3.6,Q212,Votre entité peut-elle distinguer si une relation d'affaires a été résiliée en raison d'un attribut / activité / déficience du client ou principalement en raison de la pratique discrétionnaire de LBC/FT-P de l'entité ?,
3.6,Q213,"Prière d'indiquer le nombre total de relations d'affaires avec des clients qui ont été résiliées en raison de considérations de blanchiment de capitaux, de financement du terrorisme, ou contre le financement de la prolifération des armes de destruction massive au cours de la période de déclaration, du fait des attributs / activités / déficiences du client.",
3.7,Q214,Avez-vous des commentaires sur l'une des questions de cette section ?,
3.7,Q215,Prière de partager vos retours et vos commentaires au sujet de cette section.,
1.1,C1,"Veuillez indiquer le nombre total d'employés de votre entité, ainsi que les partenaires et propriétaires non salariés, à la fin de la période de déclaration.","Réutiliser la réponse de la Q188. L'entité déclarante doit divulguer le nombre d'employés, d'associés et de propriétaires, quelle que soit leur fonction."
1.1,C2,"Veuillez fournir le nombre total d'employés équivalents temps plein, plus les partenaires et propriétaires non salariés, dans votre entité, à la fin de la période de déclaration.","L'entité déclarante doit divulguer le nombre d'employés équivalents temps plein et d'associés et propriétaires non salariés, quelle que soit leur fonction. Fournissez l'estimation sous forme décimale du temps ETP. Par exemple, s'il y a un employé à temps plein et deux employés en ¼ temps, le total serait de 1,5 ETP. 1 employé à temps plein = 1 ETP. 1 employé à mi-temps = 0,5 ETP. 1 employé en ¼ temps = 0,25 ETP."
1.1,C3,Approximativement combien d'heures les employés ont-ils consacré à la conformité LCB/FT-P-C par mois ?,
1.1,C4,Votre entité dispose-t-elle d'un conseil d'administration et/ou d'une haute direction ?,"Cette question permet de déterminer si l'entité est d'une taille suffisante pour avoir une gouvernance ou des fonctions de responsabilité séparées. Exemples de conseil d'administration ou de direction générale : une entité ayant : • Des dirigeants (PDG, directeur financier, directeur technique…) • Une répartition du pouvoir de décision, tel que celui accordé par un directeur ou lorsqu'il existe plusieurs niveaux de gestion • Des politiques ou des procédures qui nécessitent l'approbation d'un rôle ou d'une personne spécifique • Une exigence légale pour un conseil d'administration ou un rôle spécifique nécessaire pour assurer la conformité Exemples d'entité qui n'a pas de conseil d'administration ou de direction générale : • Un propriétaire unique • Une société de personnes • Une petite entreprise avec un seul niveau de gestion"
1.1,C5,Votre entité dispose-t-elle d'un service de conformité ?,
1.1,C6,Votre entité fait-elle partie d'un groupe ?,
1.2,C7,Votre entité a-t-elle préparé un ensemble de politiques et procédures de LBC/FT documenté ?,"L'entité déclarante devrait indiquer si elle a mis en place des politiques et des procédures écrites qui décrivent comment elle met en œuvre les exigences légales en matière de LBC/FT."
1.2,C8,Ces politiques et procédures ont-elles été approuvées par le conseil d'administration et/ou la haute direction de votre entité ?,"L'entité déclarante devrait indiquer si ses politiques et procédures écrites de LBC/FT ont été officiellement approuvées par la haute direction (qu'il s'agisse du conseil de direction ou de toute autre personne exerçant un contrôle sur l'entité et/ou ayant un pouvoir de décision)."
1.2,C9,Votre entité a-t-elle diffusé ces politiques et procédures à tous ses employés ?,"S'il n'y a qu'un seul employé, veuillez répondre « Oui »."
1.2,C10,Votre entité a-t-elle veillé à faire connaître ces politiques et procédures à tous ses employés ?,"S'il n'y a qu'un seul employé, veuillez répondre « Oui »."
1.2,C11,Votre entité a-t-elle mis à jour ses politiques et procédures écrites de LBC/FT au cours de l'année écoulée ?,
1.2,C12,Prière d'indiquer la date de la dernière mise à jour des politiques et procédures écrites de LBC/FT de votre entité.,"L'entité déclarante devrait indiquer si elle a une pratique systématique de suivi et de gestion des modifications apportées aux politiques et procédures de LBC/FT, telles que le contrôle de versions, ou un journal/une liste permettant de revoir la fréquence des mises à jour et des processus révision."
1.2,C13,Votre entité a-t-elle une pratique systématique de suivi et de gestion des modifications apportées aux politiques et procédures de LBC/FT?,
1.2,C14,Votre entité dispose-t-elle d'un programme de LBC/FT-P à l'échelle du groupe ?,
1.2,C15,Votre entité a-t-elle effectué une analyse pour déterminer si le programme LBC/FT-P du groupe est conforme à la législation et au cadre réglementaire de Monaco pour chaque succursale/filiale ?,
1.2,C16,Qui a préparé les politiques et procédures de votre entité ?,"L'entité déclarante devrait indiquer si ses politiques et procédures ont été préparées par l'entité elle-même ou par des conseillers externes. Prière de sélectionner l'option qui correspond le mieux à la question : par eux-mêmes, par des consultants externes, par un autre membre du groupe membre."
1.2,C17,Votre entité a-t-elle procédé à une auto-évaluation de l'adéquation des procédures de LBC/FT ?,
1.3,C18,Le conseil d'administration et/ou la haute direction de votre entité démontrent-ils une responsabilité globale en matière de LBC/FT ?,"Les mesures prises par le conseil d'administration et/ou la haute direction qui pourraient démontrer leur engagement dans les questions de LBC/FT pourraient inclure : (1) la haute direction inclut les questions de LBC/FT dans l'ordre du jour quotidien/hebdomadaire/mensuel/trimestriel/annuel ; (2) la haute direction reçoit des rapports réguliers sur les risques, les tendances et les vulnérabilités en matière de BC/FT et prend des décisions immédiates pour gérer et atténuer les risques ; (3) la haute direction demande des rapports ad hoc sur les questions de LBC/FT chaque fois que des problèmes surviennent, et ordonne un audit interne ou externe pour tester les contrôles LBC/FT ; (4) sur la base des résultats de l'évaluation interne des risques de BC/FT à l'échelle de l'entreprise, la haute direction prend des décisions pour atténuer les risques plus élevés en augmentant les ressources humaines (en embauchant plus d'employés pour la LBC/FT), en achetant un logiciel de surveillance de LBC/FT ou un logiciel de filtrage des sanctions, etc. ; (5) la haute direction approuve officiellement les politiques, les procédures et les amendements écrits qui leur sont relatifs chaque fois que des changements sont introduits à la législation LBC/FT ; (6) la haute direction demande des rapports réguliers sur la mise en œuvre des mesures d'atténuation des risques sur la base de l'évaluation des risques de BC/FT, des conclusions de l'audit interne, etc."
1.3,C19,Le conseil d'administration et/ou la haute direction de votre entité reçoivent-ils régulièrement des rapports de LBC/FT ?,"L'entité déclarante devrait indiquer si le conseil d'administration et/ou la haute direction reçoivent des rapports réguliers sur les risques et les vulnérabilités en matière de BC/FT, les tendances ainsi que la conformité globale en matière de LBC/FT. La haute direction de l'entité déclarante, responsable de la gestion et du contrôle des risques globaux, devrait également superviser les risques et les tendances en matière de BC/FT."
1.3,C20,Le conseil d'administration et/ou la haute direction de votre entité s'assurent-ils que les lacunes en matière de LBC/FT sont corrigées ?,"L'entité déclarante devrait indiquer si la haute direction de l'entité déclarante, responsable de la gestion et du contrôle globaux des risques, prend des mesures dans le but de remédier aux lacunes dans les domaines de conformité LBC/FT et d'atténuer les risques de BC/FT. La nécessité d'agir peut être déterminée sur la base des résultats de l'évaluation des risques de l'entreprise en matière de BC/FT, des rapports périodiques de LBC/FT, des rapports d'examen fait sur place par les autorités de contrôle, etc. Des exemples de telles actions peuvent inclure : (a) l'approbation des ressources budgétaires afin d'embaucher plus d'employés en conformité LBC/FT, l'investissement dans les connaissances et l'expertise des employés par le biais de formations, de séminaires, de certifications, (b) l'achat des ressources informatiques (ressources techniques) nécessaires, telles que les systèmes de surveillance, les solutions de filtrage automatisé, (c) l'octroi de la priorité au domaine de la LBC/FT en matière d'audit interne, etc."
1.3,C21,La haute direction de votre entité valide-t-elle (donne-t-elle son approbation pour) l'acceptation des clients à haut risque ?,"En cas de vigilance renforcée, la haute direction peut être tenue d'approuver les relations d'affaires avec les clients à haut risque (tels que les PPE, par exemple) avant d'entrer dans la relation d'affaires et/ou de poursuivre la relation d'affaires. L'entité déclarante devrait indiquer si la haute direction assume ces responsabilités."
1.4,C22,Votre entité a-t-elle fait face à des violations liées à la LBC/FT au cours des 5 dernières années ?,"L'entité déclarante devrait indiquer si elle a eu des manquements en matière de conformité, liés à la LBC/FT, y compris des lacunes mineures, au cours des 5 dernières années."
1.4,C23,Prière d'indiquer le nombre total de violations liées à la LBC/FT au cours des 5 dernières années.,"Tout manquement à la conformité lié à la LBC/FT, y compris les lacunes mineures, devrait être recensé dans le cadre de cette question."
1.4,C24,Prière d'indiquer le nombre et le type de violations en matière de LBC/FT.,
1.5,C25,Votre entité a-t-elle dispensé une formation en LBC/FT à ses directeurs/sa direction au cours de la période de déclaration ?,
1.5,C26,Votre entité a-t-elle organisé une formation en LBC/FT pour ses employés du office au cours de la période de déclaration ?,
1.5,C27,Prière d'indiquer le nombre total d'employés formés sur les questions de LBC/FT au cours du cycle de déclaration.,"Les employés, y compris les directeurs/la direction."
1.6,C28,"Lorsque l'opération du client est effectuée par un individu, votre entité consigne-t-elle les renseignements de sa carte d'identité ?",
1.6,C29,"Lorsque l'opération du client est effectuée par un individu, votre entité consigne-t-elle les renseignements de son passeport ?",
1.6,C30,"Lorsque l'opération du client est effectuée par un individu, votre entité consigne-t-elle les renseignements de sa carte de séjour ?",
1.6,C31,"Lorsque l'opération du client est effectuée par un individu, votre entité consigne-t-elle les renseignements de son justificatif de domicile ?",
1.6,C32,"Lorsque l'opération du client est effectuée par un individu, votre entité consigne-t-elle d'autres renseignements liés à l'individu ?",
1.6,C33,Prière de préciser quelles autres informations sont incluses dans votre base de données clients.,
1.6,C34,"Est-ce que tous les éléments suivants sont conservé dans le dossier du client : • Prénom • Nom • date de naissance • lieu de naissance • nationalité • pays de résidence • niveau de risque • activité du client • patrimoine","Si l'un de ces éléments n'est pas conservé dans votre dossier, répondez « Non »."
1.6,C35,Prière de préciser quels éléments ne sont pas recueillis ?,"Si tous sont conservés, répondez « NA »."
1.6,C36,"Lorsque l'opération du client est effectuée par une personne morale / construction juridique, votre entité enregistre-t-elle l'extrait du registre du commerce du client ?",
1.6,C37,"Lorsque l'opération avec le client est effectuée par une personne morale ou une construction juridique, votre entité enregistre-t-elle les statuts du client ?",
1.6,C38,"Lorsque l'opération du client est effectuée par une personne morale ou une construction juridique, votre entité enregistre-t-elle le procès-verbal d'assemblée ?",
1.6,C39,"Lorsque l'opération est effectuée par une personne morale ou une construction juridique, votre entité enregistre-t-elle les documents d'identité de tous les bénéficiaires effectifs (détenant au moins 25 % de l'entité) ?",
1.6,C40,"Lorsque l'opération avec le client est effectuée par une personne morale ou une construction juridique, votre entité enregistre-t-elle d'autres données ?",
1.6,C41,Veuillez préciser les autres données des personnes morales/constructions juridiques enregistrées.,
1.6,C42,Les données concernant les anciennes relations clients sont-elles accessibles sur demande par l'AMSF ?,
1.6,C43,Tous ces documents sont-ils conservés systématiquement ?,"Cette question vise à savoir si le titulaire de la carte professionnelle dispose d'un système organisé pour conserver les dossiers, et si les dossiers sont stockés de manière centralisée (et non pas distribués à grande échelle), de sorte que les dossiers puissent être facilement récupérés et fournis sur demande."
1.6,C44,Votre entité conserve-t-elle des documents récapitulatifs de tous les renseignements ci-dessus ?,
1.6,C45,Ces informations sont-elles dans une base de données ?,
1.6,C46,Votre entité utilise-t-elle des outils pour établir la connaissance du client (CDD) ?,
1.6,C47,Quels outils ?,
1.6,C48,Les résultats de l'outil CDD (connaissance du client) sont-ils systématiquement stockés ?,
1.6,C49,Votre entité applique-t-elle une approche fondée sur le risque pour les mesures de vigilance relatives à la clientèle ?,
1.6,C50,Votre entité a-t-elle des politiques et des procédures qui précisent la différence dans la documentation et les exigences pour différents niveaux de CDD ?,"L'entité déclarante devrait indiquer si elle a mis en place des politiques et des procédures écrites qui précisent la différence dans la documentation et les exigences en matière de vigilance simplifiée, standard et renforcée."
1.6,C51,"Veuillez indiquer le nombre total de clients uniques qui ont été actifs à un moment donné pendant la période de déclaration, pour l'achat, la vente et la location de biens immobiliers.",Prière de réutiliser la réponse fournie à la Q4.
1.6,C52,Votre entité a-t-elle mis en œuvre des mesures de vigilance simplifiée pour des clients au cours de la période de déclaration ?,"Attention, les Simplified Due Diligences (SDD) ou obligations simplifiées de vigilance, constituent un cadre spécifique défini aux articles 11 et suivants de la loi 1.362."
1.6,C53,Prière d'indiquer le nombre total de clients uniques qui font l'objet de mesures de vigilance simplifiées.,
1.6,C54,Votre entité identifie-t-elle et vérifie-t-elle ses clients à l'aide d'informations fiables et indépendantes dans tous les cas de CDD ?,
1.6,C55,Les politiques CDD de votre entité incluent-elles des procédures d'acceptation du client et des procédures d'identification et de vérification de l'identité du client et du bénéficiaire effectif ?,
1.6,C56,Votre entité fait-elle appel à des tiers pour les procédures de mesures de vigilance à l'égard de la clientèle ?,
1.6,C57,Votre entité a-t-elle rencontré des difficultés pour recevoir des informations CDD de tiers en cas de besoin ?,
1.6,C58,"Veuillez indiquer la raison principale des difficultés (par exemple, raison juridique, raison commerciale, indisponibilité des informations, autre) et le type de tiers (par exemple, institution financière, EPNFD).",
1.6,C59,Votre entité applique-t-elle une identification et une vérification renforcées de tous les clients à haut risque avant leur prise en charge ?,
1.6,C60,Votre entité examine-t-elle la source du patrimoine avant l'entrée en relation ?,
1.6,C61,À quelle fréquence les clients d'achats et de ventes de biens immobiliers et classés comme présentant un risque élevé de blanchiment d'argent ou de financement du terrorisme font-ils l'objet de mesures de vigilance ?,
1.6,C62,À quelle fréquence les clients de location et classés comme présentant un risque élevé de blanchiment d'argent ou de financement du terrorisme font-ils l'objet de mesures de vigilance ?,
1.6,C63,Votre entité prend-elle d'autres mesures pour les clients à haut risque avant leur prise en charge ?,
1.6,C64,Prière de préciser les autres mesures prises pour les clients à haut risque avant leur prise en charge.,
1.6,C65,"Vos clients effectuent-ils des opérations d'achat, de vente ou de location de biens immobiliers avec les cryptomonnaies ?",
1.6,C66,Comment l'entité vérifie-t-elle les bénéficiaires effectifs des avoirs virtuels ?,
1.7,C67,Prière d'indiquer le nombre total de clients uniques pour lesquels une vigilance renforcée a été appliquée lors de leur intégration.,
1.7,C68,Prière d'indiquer le nombre total de clients uniques pour lesquels une vigilance renforcée a été appliquée dans le cadre des relations d'affaires.,Au cours de la période de déclaration.
1.7,C69,Prière d'indiquer le pourcentage de clients uniques qui ont fait l'objet d'une vigilance renforcée.,C'est-à-dire le nombre de clients soumis à des mesures de vigilance renforcées ÷ le nombre total de clients.
1.8,C70,Votre entité applique-t-elle à ses clients des notations de risque en matière de LBC/FT ?,
1.8,C71,Combien de niveaux de risque LBC/FT votre entité a-t-elle pour ses clients ?,
1.8,C72,Prière d'indiquer le nombre de clients uniques classés comme présentant un risque élevé de LBC/FT.,
1.8,C73,"Les considérations relatives à l'affectation de haut risque de votre entité incluent-elles TOUTES les informations suivantes : • pays de résidence • activité • statut PPE • type de client • produits et services • types d'opérations • canaux de distribution • comptes à intitulé conventionnel • avoirs sous gestion • volume d'opérations • nature des opérations • un élément déclencheur",
1.8,C74,Prière de préciser quels éléments ne sont pas pris en compte ?,"Si tous sont pris en compte, prière de répondre par « NA »."
1.8,C75,Votre entité utilise-t-elle une liste de pays sensibles pour l'évaluation des risques de LBC/FT ?,(évaluations des clients)
1.8,C76,Votre entité utilise-t-elle une liste d'activités sensibles pour l'évaluation des risques de LBC/FT ?,(évaluations des clients)
1.8,C77,Quelles activités client votre entité associe-t-elle aux clients à haut risque ?,(Veuillez vous référer aux types de client de la section 1.11)
1.8,C78,Votre entité examine-t-elle séparément les risques de BC et de FT ?,
1.9,C79,Quand a eu lieu le dernier audit effectué par le SICCFIN/AMSF pour votre entité ?,
1.10,C80,Votre entité conserve-t-elle les informations relatives aux opérations pendant au moins 5 ans ?,
1.10,C81,Votre entité conserve-t-elle toutes les correspondances relatives aux CDD et les correspondances commerciales pendant au moins 5 ans après la fin d'une relation client ?,
1.10,C82,Votre entité conserve-t-elle ces informations et documents dans un endroit sûr et sécurisé ?,
